question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,r1,r2,s,ground_truth
11ed00b2-0941-4e2d-a6f6-490295175ae9,1.9000019,0.0,0.0,0.17011736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7590296,0.0,0.0,0.14511709,0.0,0.0,0.0,0.0,1.0,0,0.6931471805599453,3.6590314,1
11ed00b2-0941-4e2d-a6f6-490295175ae9,0.30991578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28404343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0.4054651081081644,0.5939592,0
11ed00b2-0941-4e2d-a6f6-490295175ae9,0.27485925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25721937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,0.2876820724517809,0.5320786,0
11ed00b2-0941-4e2d-a6f6-490295175ae9,0.27485925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24283586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0.22314355131420976,0.5176951,0
11ed00b2-0941-4e2d-a6f6-490295175ae9,0.25145158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24283586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4,0.18232155679395462,0.49428743,0
11ed00b2-0941-4e2d-a6f6-490295175ae9,0.25145158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24283586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5,0.1541506798272583,0.49428743,0
11ed00b2-0941-4e2d-a6f6-490295175ae9,0.25145158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21942818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6,0.13353139262452263,0.47087976,0
11ed00b2-0941-4e2d-a6f6-490295175ae9,0.25145158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21942818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7,0.11778303565638346,0.47087976,0
11ed00b2-0941-4e2d-a6f6-490295175ae9,0.25145158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21942818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8,0.1053605156578263,0.47087976,0
11ed00b2-0941-4e2d-a6f6-490295175ae9,0.20974265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17771927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9,0.09531017980432487,0.3874619,0
0e4a1a8a-f9f2-4957-a04c-fae0ecad5616,2.9910889,0.8358201,0.59185004,0.8358201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2552583,0.9042503,0.50963736,0.9042503,0.0,0.0,0.0,0.0,0.75,0,0.6931471805599453,6.2463474,1
