"What is Beringia","3","1"
"The name of an ancient land bridge linking Asia and North America","3","1"
"What is the Black Death","46","1"
"what was the Black Death","47","1"
"This event occurred in the fourteenth century causing the death of nearly half the population two strains of the bubonic plague that simultaneously swept western Europe in the chasquis","46","1"
"event that occurred in the fourteenth century causing the death of nearly half the population two strains of the bubonic plague that simultaneously swept western Europe in the chasquis","47","1"
"What is a chinampas","16","1"
"What is the name of floating garden used in Xochimilco?","16","1"
"Floating Aztec gardens consisting of a large barge woven from reeds","16","1"
"What were the Crusades","62","1"
"what are the Crusades","65","1"
"when were the Crusades","66","1"
"crusades","67","1"
"The name for a series of military expeditions made by Christian Europeans to recover the Holy Land from the Muslims in the eleventh  twelfth and thirteenth centuries","62","1"
"The name for expeditions made by Christian Europeans to recover the Holy Land from the Muslims","65","1"
"The name for a series of military expeditions made by Christian Europeans to recover the Holy Land from the Muslims?","66","1"
"series of military expeditions made by Christian Europeans to recover the Holy Land from the Muslims in the eleventh  twelfth and thirteenth centuries","67","1"
"What were feudal societies?","54","1"
"feudal societies","50","1"
"a social arrangement in which serfs and knights provided labor and military service to noble lords receiving protection and land use in return","54","1"
"a social arrangement in which serfs and knights provided labor and military service to noble lords receiving protection and land use in return","50","1"
"What was the Inquisition","70","1"
"a campaign by the Catholic Church to root out heresy especially among converted Jews and Muslims","70","1"
"What is the Koran","93","1"
"koran","59","1"
"the sacred book of Islam written by the prophet Muhammad in the seventh century","93","1"
"the sacred book of Islam in the seventh century","59","1"
"What is matriarchy","39","1"
"a society in which women have political power","39","1"
"what is mita","26","1"
"what is the Incan labor tax with each family donating time and work to communal projects","26","1"
"what is polygyny","83","1"
"the practice of taking more than one wife","83","1"
"what is quipu","24","1"
"quipu","25","1"
"an ancient Incan device for recording information consisting of variously colored threads knotted in different ways","24","1"
"an ancient Incan device for recording information consisting of variously colored threads knotted in different ways","25","1"
"what was the Reconquista","62","1"
"Reconquista","78","1"
"Spain's nearly eight-hundred-year holy war against Islam which ended in 1492","62","1"
"Spain's nearly eight-hundred-year holy war against Islam which ended in 1492","78","1"
"what is a serf","48","1"
"serf","50","1"
"a peasant tied to the land and its lord","48","1"
"a peasant tied to the land and its lord","50","1"
"which of the following Indian peoples built homes in cliff dwellings","31","1"
"which of the following Indian peoples built homes in cliff dwellings that still exist","32","1"
"Indian people that built homes in cliff dwellings that still exist","33","1"
"Which culture developed the only writing system in the Western Hemisphere","7","1"
"Which culture developed the only writing system in the Western Hemisphere","8","1"
"Which culture developed the only writing system in the Western","9","1"
"developed the only writing system in the Western Hemisphere","11","1"
"which culture developed a road system rivaling that of the Romans","24","1"
"Became wealthy trading with the East","67","1"
"In 1492 the Spanish forced these two religious groups to either convert or leave","78","1"
